n	Chess	Checkers	RCube		
777	0.181044	0.744536	0.186322		
778	0.737383	0.552515	0.827883		
779	0.573860	0.777541	0.836230		
780	0.389706	0.691234	0.337102		
781	0.496448	0.930911	0.348809		
782	0.213046	0.045241	0.576331		
783	0.141343	0.862585	0.338521		
784	0.498145	0.544640	0.327445		
785	0.932229	0.799505	0.645672		
786	0.624145	0.803479	0.507857		
787	0.104474	0.590048	0.109267		
788	0.218960	0.687613	0.301132		
789	0.643491	0.966159	0.598766		
790	0.724326	0.946976	0.582918		
791	0.784986	0.276109	0.231093		
792	0.936644	0.298083	0.328724		
793	0.913811	0.691034	0.873923		
794	0.232461	0.341422	0.654148		
795	0.188641	0.329697	0.627712		
796	0.904711	0.862028	0.858112		
797	0.114519	0.061746	0.956157		
798	0.471733	0.939857	0.307560		
799	0.782438	0.852101	0.905593		
800	0.931411	0.399280	0.236614		
801	0.272416	0.454926	0.813653		
802	0.359586	0.759905	0.494307		
803	0.056265	0.562222	0.199658		
804	0.864965	0.899552	0.985802		
805	0.795935	0.009669	0.149338		
806	0.056451	0.879704	0.212469		
807	0.472069	0.802741	0.366839		
808	0.184035	0.937020	0.305502		
809	0.733022	0.340724	0.184138		
810	0.210638	0.263618	0.660790		
811	0.370033	0.267925	0.814009		
812	0.043834	0.252371	0.935931		
813	0.036055	0.446826	0.783583		
814	0.157687	0.080289	0.802405		
815	0.225086	0.429216	0.697679		
816	0.382539	0.018462	0.920215		
817	0.220899	0.616549	0.080315		
818	0.079714	0.957226	0.287510		
819	0.495927	0.862934	0.291257		
820	0.304782	0.627722	0.156848		
821	0.922668	0.750444	0.692574		
822	0.959251	0.426767	0.072231		
823	0.263987	0.760410	0.084192		
824	0.531486	0.180381	0.274624		
825	0.491903	0.233602	0.777966		
826	0.643613	0.042234	0.073722		
827	0.794324	0.617991	0.921666		
828	0.993048	0.857770	0.631065		
829	0.308279	0.310335	0.958166		
830	0.011712	0.594793	0.444469		
831	0.143406	0.138006	0.651867		
832	0.510839	0.197694	0.498779		
833	0.332477	0.191281	0.524489		
834	0.027468	0.588976	0.078338		
835	0.417734	0.875875	0.082828		
836	0.783933	0.605961	0.866781		
837	0.786405	0.273531	0.307875		
838	0.996445	0.540777	0.871861		
839	0.663228	0.547407	0.751676		
840	0.236012	0.584175	0.066367		
841	0.282870	0.041432	0.630247		
842	0.447438	0.133216	0.903597		
843	0.053217	0.776162	0.165554		
844	0.445040	0.699381	0.456044		
845	0.428272	0.055864	0.799396		
846	0.029640	0.415789	0.617291		
847	0.795088	0.845124	0.659531		
848	0.607489	0.642259	0.980656		
849	0.659060	0.332727	0.227678		
850	0.581666	0.961077	0.550914		
851	0.857556	0.665496	0.749451		
852	0.911260	0.526998	0.798621		
853	0.629921	0.550245	0.575393		
854	0.065968	0.615930	0.116066		
855	0.828119	0.312027	0.068593		
856	0.250969	0.811543	0.233335		
857	0.768109	0.750195	0.669327		
858	0.932457	0.983128	0.755452		
859	0.034508	0.393228	0.558416		
860	0.445031	0.155671	0.987375		
861	0.784253	0.178034	0.280387		
862	0.437003	0.476979	0.531035		
863	0.875261	0.698279	0.555622		
864	0.755199	0.821562	0.785906		
865	0.973951	0.925894	0.776481		
866	0.016855	0.299428	0.532078		
867	0.518983	0.787558	0.803471		
868	0.058250	0.190607	0.576895		
869	0.971809	0.944410	0.611346		
870	0.794310	0.799257	0.998197		
871	0.301573	0.341089	0.822118		
872	0.925130	0.924605	0.939219		
873	0.652879	0.775428	0.538773		
874	0.253417	0.883272	0.488825		
875	0.215865	0.319894	0.673319		
876	0.927272	0.654892	0.628531		
877	0.313448	0.361520	0.982102		
878	0.359089	0.607804	0.439093		
879	0.991559	0.812087	0.526497		
880	0.301105	0.816026	0.021451		
881	0.876583	0.583829	0.701044		
882	0.627200	0.162293	0.477371		
883	0.193440	0.304097	0.826418		
884	0.101895	0.566207	0.372781		
885	0.712188	0.937613	0.875099		
886	0.080423	0.661263	0.325205		
887	0.377618	0.001405	0.946418		
888	0.003890	0.779745	0.322057		
889	0.910133	0.929405	0.907104		
890	0.312934	0.598547	0.023453		
891	0.493744	0.688417	0.306554		
892	0.133093	0.125906	0.880191		
893	0.522493	0.373833	0.070311		
894	0.347342	0.056721	0.958780		
895	0.673586	0.638900	0.813356		
896	0.008621	0.306747	0.730145		
897	0.863176	0.407447	0.480437		
898	0.282130	0.182284	0.597187		
899	0.191042	0.820460	0.229942		
900	0.025448	0.804668	0.134221		
901	0.562763	0.418353	0.365106		
902	0.500423	0.491498	0.454807		
903	0.812175	0.673221	0.746376		
904	0.918451	0.536437	0.773829		
905	0.375997	0.349538	0.609220		
906	0.986678	0.570716	0.586983		
907	0.805165	0.751193	0.662260		
908	0.623622	0.072451	0.296336		
909	0.029121	0.005803	0.699244		
910	0.555123	0.747914	0.650955		
911	0.536571	0.869172	0.780830		
912	0.987053	0.106961	0.379241		
913	0.965699	0.134715	0.174633		
914	0.405231	0.483017	0.531690		
915	0.494588	0.489859	0.913232		
916	0.300895	0.563438	0.351545		
917	0.945216	0.139269	0.478153		
918	0.003000	0.053620	0.803124		
919	0.445646	0.968497	0.403833		
920	0.626703	0.214075	0.446091		
921	0.308069	0.186646	0.866808		
922	0.852831	0.069219	0.392991		
923	0.117161	0.708350	0.341462		
924	0.364593	0.019547	0.656134		
925	0.963590	0.096322	0.230167		
926	0.577268	0.358726	0.352543		
927	0.754295	0.173946	0.294293		
928	0.904650	0.275232	0.199031		
929	0.298415	0.575805	0.358723		
930	0.264230	0.181133	0.904437		
931	0.671637	0.622235	0.542267		
932	0.310780	0.583797	0.115491		
933	0.187534	0.053789	0.736365		
934	0.891733	0.399586	0.458437		
935	0.259395	0.409554	0.829047		
936	0.607925	0.682208	0.796126		
937	0.102559	0.973015	0.065566		
938	0.210021	0.361924	0.783627		
939	0.353821	0.334312	0.593965		
940	0.433083	0.972673	0.475386		
941	0.893605	0.173597	0.231651		
942	0.748254	0.413185	0.323348		
943	0.790955	0.437327	0.458850		
944	0.279243	0.824161	0.343622		
945	0.140301	0.013516	0.919104		
946	0.327959	0.343251	0.880796		
947	0.139360	0.097682	0.901241		
948	0.249913	0.852082	0.012483		
949	0.249726	0.577927	0.131594		
950	0.459281	0.907118	0.223331		
951	0.892460	0.335520	0.093900		
952	0.315337	0.444427	0.610867		
953	0.331864	0.418707	0.846152		
954	0.950761	0.295517	0.173000		
955	0.176785	0.484375	0.571611		
956	0.054181	0.849749	0.250453		
957	0.788615	0.047160	0.326648		
958	0.303141	0.917943	0.306438		
959	0.565024	0.891384	0.993348		
960	0.508528	0.573853	0.869015		
961	0.398046	0.131524	0.851948		
962	0.995857	0.113378	0.488661		
963	0.294648	0.066954	0.975119		
964	0.309475	0.872308	0.148016		
965	0.615010	0.650580	0.799031		
966	0.340612	0.098333	0.863690		
967	0.496657	0.484494	0.901036		
968	0.486384	0.078306	0.733854		
969	0.430087	0.643074	0.019447		
970	0.641182	0.817794	0.692063		
971	0.972152	0.172236	0.167537		
972	0.086780	0.059262	0.766557		
973	0.213771	0.873899	0.245879		
974	0.515708	0.857744	0.908085		
975	0.227713	0.681183	0.048669		
976	0.090029	0.116546	0.919616		
977	0.269892	0.213748	0.840795		
978	0.310859	0.696472	0.339958		
979	0.457061	0.144052	0.837974		
980	0.042470	0.588671	0.251771		
981	0.080539	0.357060	0.806033		
982	0.474341	0.146534	0.501208		
983	0.238765	0.159650	0.853082		
984	0.021472	0.638775	0.247247		
985	0.177262	0.506708	0.499141		
986	0.939005	0.136548	0.241892		
987	0.159705	0.797250	0.116402		
988	0.913029	0.107461	0.237297		
989	0.732651	0.889795	0.613895		
990	0.613216	0.450535	0.216476		
991	0.663738	0.463116	0.186033		
992	0.815619	0.313772	0.327536		
993	0.461582	0.439596	0.591041		
994	0.276914	0.204246	0.663379		
995	0.739448	0.464219	0.283048		
996	0.339000	0.920994	0.251847		
997	0.346583	0.641287	0.102905		
998	0.852708	0.944774	0.948244		
999	0.537231	0.762840	0.584491		
1000	0.135267	0.057804	0.575724		
